,article_title,lastrevid
375,Tigran Karapetyan,1112833785
376,Khachatur-Bek of Mush,1114420639
377,Aram Kocharyan,1107982644
378,Davit Lokyan,1089241404
379,Khachatur Malumian,1114420669
380,Aram Manukyan,1048512708
381,Gevorg Melik-Karagyozyan,980519720
382,Vahan Minakhoryan,1055697655
383,Ruben Mirzakhanyan,1084737845
384,Badal Muradyan,1090630537
385,Gabriel Noradunkyan,1114426086
386,Suren Papikyan,1112772824
387,Paul Paul,1114420707
388,Garo Paylan,1104655518
389,Genrikh Poghosyan,1085393392
390,Ishkhan Saghatelyan,1107169295
391,Martiros Sarukhanyan,933482772
392,Vartkes Serengülian,1114426992
393,Serop Zakaryan,1057547947
394,Servitchen,1114420738
395,Suren Shadunts,1109564586
396,Kasbar Sinabian,1114426546
397,Ohannes Tchekidjian,1090861179
398,Hrayr Tovmasyan,993785842
399,Usuv Beg,1086955149
400,Kegham Vanigian,1114420793
401,Artak Zeynalyan,1097086972
402,Alfons Adam,1103541474
403,Ingo Appelt,997950968
404,Baron Alexander von Bach,1114355363
405,"Maximilian Anton Karl, Count Baillet de Latour",1112473939
406,Heinrich Alfred Barb,1092809567
407,Raphael Basch,1023595642
408,Leopold Berchtold,1089443270
409,Hanns Blaschke,1112474283
410,Andreas Bolek,1005030653
411,Joseph Buttinger,1080982386
412,Prince Carl of Solms-Braunfels,1107215721
413,Citizens' Ministry,1071736555
414,Richard von Coudenhove-Kalergi,1108787206
415,Karl von Czyhlarz,1021127705
416,George Abraham von Dyhrn,1007538469
417,Hans Ferlitsch,941916920
418,Friedhelm Frischenschlager,1018809630
419,Anton Füster,1078570802
420,Julius Anton Glaser,1112473750
421,Walter Guggenberger,1112473762
422,Ulrich Habsburg-Lothringen,1112474612
423,Ernst Hampel (politician),1069436586
424,Franz von Hartig,1007537619
425,Hans Peter Haselsteiner,1112603346
426,Friedrich Wilhelm von Haugwitz,1112275892
427,Eduard Herbst,1007530580
428,Hermann Stern,1101206070
429,Jürgen Himmelbauer,969146003
430,Anton Hofer,1105446235
431,Andreas Hörtnagl,969145984
432,Franz Jetzinger,1086163096
433,Hugo Jury,1050014678
434,Joseph Kenner,1112603390
435,Theodor Kery,1065573627
436,Michael Killisch-Horn,1106829544
437,Hubert Klausner,1111898436
438,Martin Kocher,1088269446
439,Józef Kożdoń,1112603867
440,Hans Kudlich,1048166289
441,Gottfried von Kühnelt-Leddihn,1068422030
442,Hartmann Lauterbacher,1070877897
443,Otto Lecher,1033894166
444,Franz Leitner (politician),1010887552
445,Elmar Lichtenegger,1058620648
446,Julius Lippert (historian),1084061853
447,Karl Lütgendorf,1112474529
448,Jürgen Mandl,977059921
449,Renate Mann,1099978355
450,Ferdinand Mannlicher,1104118829
451,Christoph Matznetter,1105484317
452,Johann Gregor Memhardt,1112474313
453,Franz Moroder,1090940019
454,Heinz Nittel,1109478769
455,Brigitta Pallauf,1033512296
456,Wladimir von Pawlowski,1019694668
457,Johann Anton von Pergen,1061803495
458,Gerhard Pfanzelter,1106125275
459,Walter Pfrimer,1113533881
460,Ernst von Plener,1017745075
461,Leopold Poetsch,1092446707
462,Thomas Prinzhorn,1112474168
463,Hermann von Ramberg,994058910
464,Heinrich Reschauer,1083947896
465,Horst Rosenkranz,1112603574
466,Emil Sax,1007521446
467,Karl Schmitzer,1089049732
468,Georg Ritter von Schönerer,1114549144
469,"Georg Adam, Prince of Starhemberg",1102889087
470,Gundaker Thomas Starhemberg,1078907075
471,Josef Staribacher,1049705609
472,Richard Steidle,1112576338
473,Julius Tandler,1077100690
474,Muzio Tommasini,1093955134
475,Karl Freiherr von Vogelsang,1016446506
476,Max Winter (politician),1112474387
477,Anton von Winzor,1045934334
478,Gisela Wurm,1038160173
479,Alexander Zach,1056085498
480,Curt Franz Wenzel Christoph Erdmann Graf Zedtwitz von Moraván und Duppau,1111962495
481,Karl von Zinzendorf,1112603523
482,Muzamil Abdullayev,1107065506
483,Leyla Abdullayeva,1102138152
484,Elchin Afandiyev,1075526613
485,Fazail Agamali,1106843986
486,Fuad Alasgarov,1018398706
487,Anvar Alikhanov,1109309028
488,Tarlan Aliyarbayov,1112064160
489,Dilara Aliyeva,1109649588
490,Ali Asadov,1112134949
491,Akram Aylisli,1106344373
492,Sahil Babayev,1112800095
493,Huseyngulu Baghirov,1080007779
494,Alovsat Bakhshiyev,1090036474
495,Rafael Kamil Dzhabrailov,1100266382
496,Matin Eynullayev,1110146340
497,Vilayat Eyvazov,1109686454
498,Abdurrahman Fatalibeyli,1094730548
499,Fazail Ibrahimli,1096310851
500,Solomon Grobshtein,1067081975
501,Teymur Guliyev,1025325196
502,Mammad Gurbanov,1101536288
503,Asaf Hajiyev,1114198988
504,Farhad Hajiyev,1109686109
505,Jamil Hasanli,1091283791
506,Ali M. Hasanov,1104973679
507,Shakir Hasanov,1096145690
508,Zakir Hasanov,1110113628
509,Ali Huseynli,1090157253
510,Alisahib Huseynov,1080007304
511,Ali Ibrahimov,1067793317
512,Mammad Isgandarov,1029087103
513,Vidadi Isgandarov,1092547948
514,Ajdar Ismailov,1096490381
515,Saftar Jafarov,1045812028
516,Rovshan Javadov,1108873335
517,Anar Karimov,1109685880
518,Boris Kevorkov,1072772142
519,Gurban Khalilov,1094981152
520,Ahmad Kordary,1093750341
521,Ilham Madatov,1011331249
522,Musa Mammadov,1084134498
523,Ramin Mammadov,1020887005
524,Elshad Mirbashir oghlu,1084157904
525,Fuad Naghiyev,1081854289
526,Eldar Namazov,1087483504
527,Siyavush Novruzov,1114475460
528,Sadig Rahimov,1074822020
529,Suleyman Rahimov,1096039626
530,Huseyn Rahmanov,1106104383
531,Hasan Sayidov,1025325260
532,Parviz Shahbazov,1105103095
533,Mammad agha Shahtakhtinski,1080672703
534,Abid Sharifov,1096574448
535,Bakhtiyar Vahabzadeh,1114287934
536,Elmir Valiyev,1074732244
537,Nurali Yusifbayli,1019924574
538,Harold Christie,1083155826
539,Timothy Donaldson,1109457989
540,Joseph Robert Love,1084382477
